ID,College Name,Region,Location,District,Autonomus_Status,Boys_Total,Girls_Total,Website Link,Contact Number,Email Address,Tpo Name,Tpo Contact Number
1002,"Government College of Engineering, Amravati",Amravati,"VMV Road, Near Kathora Naka,  Amravati",Amravati,Autonomous,320,400,www.gcoea.ac.in,2531929,principal@gcoea.ac.in,P. P. Bhatkar,2531930
1012,"Government Engineering College, Yavatmal",Amravati,"Post Box N. 24, Dhamangaon Road, Yavatmal ",Yavatmal,Non-Autonomous,180,104,www.gpyavatmal.edu.in,07232243-278,office.gpyavatmal@dtemaharashtra.gov.in,Mahejabin M. Mujawar,07232238-683
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Amravati,"S.S.G.M.C.E Campus, Khamgaon Road, Shegaon Dist. Buldhana",Buldhana,Non-Autonomous,741,649,www.ssgmce.org,8669638081,principal@ssgmce.ac.in,PROF. A.V. PATIL,252216
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati,"Anjangaon Bari Road, Badnera,  Amravati",Amravati,Non-Autonomous,0,0,www.mitra.ac.in,2681246-202,principal@mitra.ac.in,Mr. R. V. Adwanikar,2681246-203
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati,"Sipna campus, Infront of Nemani Godown, Badnera Rd., Amravati",Amravati,Non-Autonomous,0,350,www.sipnaengg.ac.in,2522342-102,sipnaoffice@gmail.com,Shyamsundar Bhojraj Gupta,2522343
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Amravati,"Babhulgaon(Jn), Murtizapur Road, National Highway No. 6, Akola",Akola,Non-Autonomous,80,40,www.coeta.ac.in,2259069-24,principalcoeta@gmail.com,Mr. N. B. Gawande,2456688-24
1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Amravati,"Anuradhha Nagar, Sakegaon Road, Chikhali Dist. Buldhana ",Buldhana,Non-Autonomous,150,250,www.aecc.ac.in,242063-206,annprincipal55@gmail.com,Prof. Vijay D.Gurudasani,242580-206
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Amravati,"MIDC, Lohara, Amaravati Road, Yavatmal",Yavatmal,Non-Autonomous,99,0,www.jdiet.ac.in,7447797962,jdiet_yml@bsnl.in,Avinash Navghare,7447797963
1121,"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Amravati,"Hanuman Vyayam Nagar, H.V.P.M. Campus, Amravati",Amravati,Non-Autonomous,60,52,www.hvpmcoet.in,2563422,principal@hvpmcoet.in,Mr. S.V.Dhole,2563422
1122,"Dr. Bhausaheb Nadurkar College of Engineering, Waghapur,Yavatmal",Amravati,"Shri Saty Sai Krida Nagari, Waghapur Road, Yavatmal",Yavatmal,Non-Autonomous,30,20,www.dbncoet.ac.in,246162-23,dbncoetytl@gmail.com,Prof. Ravi V. Nadimpalli,246166-23
1124,"G.H. Raisoni college of Engineering & Management, Amravati",Amravati,"Anjangaon, Bari Road, Amravati",Amravati,Non-Autonomous,50,50,ghrcema.raisoni.net,2385432,vijay.rathod@raisoni.net,Dr. Anand Deshpande,2385429
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Amravati,"Rajarshi Shahu Nagar, Near Palna Ghar, Sagwan Road,  Buldhana ",Buldhana,Non-Autonomous,0,60,www.rsce.ac.in,287167,rsc_engg@rediffmail.com,Adv. Ms. Kirti Sawale,242080
1126,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Amravati,"Darapur, Taluka. Daryapur, Amravati",Amravati,Non-Autonomous,100,50,www.kgiet.ac.in,7720032432-65,principal.kgiet@gmail.com,Nilesh Ghotkar,-65
1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Amravati,"Sr. No.167/1,167/2 &163/,Arni Road, Mauza-Kinhi,Tal & Dist-Yavatmal",Yavatmal,Non-Autonomous,50,40,www.jcoet.org,244226,principal@jcoet.org,Hemant M Baradkar,244226
1128,"Prof Ram Meghe College of Engineering  and Management, Badnera",Amravati,"New Express Highway, Badnera Dist. Amravati",Amravati,Non-Autonomous,0,0,www.prmceam.ac.in,2580373,principal@prmceam.ac.in,Mr. Sagar J Chandak,2578385
1129,"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon",Amravati,"Knowledge Hub, Anjansingi Road, Dhamangaon RlY. Station, Amravati",Amravati,Non-Autonomous,50,36,www.descoet.org,237335-07222,desdcoet@rediffmail.com,Prof. Rajkumar Yadav,237335-07222
1148,"P. R. Pote Patil Institute of Engineering & Research, At  Kathora, Amravati ",Amravati,"Kathora Road, Pote Estate, Mu. Kathora Ta. Dist Amravati",Amravati,Non-Autonomous,0,0,www.prppier.ac.in,2970408-0721,prpatilengineering@gmail.com,Kishor Deshmukh,2970111
1180,"Sanmati Engineering College, Sawargaon Barde, Washim",Amravati,"Survey no. 40, Washim-Malegaon Road, At. Post  Sawargaon Barde Dist. Washim ",Washim,Non-Autonomous,50,50,www.sanmati.in,234302,engineering@sanmati.in,Vikas Joshi,233090
1182,"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Amravati,"Malkapur, Dist. Buldhana",Buldhana,Non-Autonomous,0,0,www.coemalkapur.ac.in,226700,coemalkapur@rediffmail.com,Mr. Ramakant Rane,224943
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Amravati,"Khamgaon Road, Shegaon Dist. Buldhana",Buldhana,Non-Autonomous,250,125,www.mauligroup.org,7722027506,maulicoet@gmail.com,Mr. S. S. Badhe,7722027506
1266,"Harikisan Maloo Institute Of Management & Technology, Amravati",Amravati,"Opp. Deshmukh Lawns, Shegaaon Rahatgaon Road, Amravati. ",Amravati,Non-Autonomous,0,0,www.maloogroup.org,2970119,hcminstmngtech@gmail.com,Dr. Ashish R. maloo,90968111-11
1267,"Pratap Institute of Management & Technology, Washim.",Amravati,"Gat No. 89 & 90, Mauza Walki, Risod Road, Washim",Washim,Non-Autonomous,50,50,www.pimtwashim.org,288919-07252,pimt.washim@gmail.com,Shriram Wamanrao Khope,288919-07252
